suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:MRNA,D,161.3,1.906,60.0,21.03,5.0,,728.17,-708.55,0.0123,-12.81,32.49,0.0,3.63,0.19,0.83,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+16,130.09USD+161.30%', 'Max drawdown': '2,288.06USD21.03%', 'Profitable trades': '60.00%3/5', 'Profit factor': '1.906', 'Total trades': '5'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:PLTR,D,8.1,1.159,44.44,35.8,9.0,,1769.89,-1761.79,0.0289,14.38,-6.28,0.0,7.54,0.07,0.85,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+810.38USD+8.10%', 'Max drawdown': '3,579.94USD35.80%', 'Profitable trades': '44.44%4/9', 'Profit factor': '1.159', 'Total trades': '9'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:NVDA,D,35.63,1.851,53.85,13.49,13.0,,4359.89,-4324.26,0.0286,-10.77,46.4,0.0,8.26,0.87,0.8,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+3,563.50USD+35.63%', 'Max drawdown': '1,798.45USD13.49%', 'Profitable trades': '53.85%7/13', 'Profit factor': '1.851', 'Total trades': '13'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:INTC,D,121.89,2.945,29.41,43.65,17.0,,131.8,-9.91,0.0374,111.23,10.66,0.0,9.27,0.39,0.82,"C | Intel Corporation | 1D ‖ {'Total PnL': '+12,188.93USD+121.89%', 'Max drawdown': '4,404.39USD43.65%', 'Profitable trades': '29.41%5/17', 'Profit factor': '2.945', 'Total trades': '17'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:IREN,D,-26.19,0.664,33.33,76.54,6.0,,90.92,-117.11,0.0238,0.0,-26.19,0.0,6.1,0.0,0.88,"C | IREN LIMITED | 1D ‖ {'Total PnL': '−2,618.87USD−26.19%', 'Max drawdown': '7,653.55USD76.54%', 'Profitable trades': '33.33%2/6', 'Profit factor': '0.664', 'Total trades': '6'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:ONDS,D,-50.19,0.276,20.0,61.02,5.0,,-45.26,-4.93,0.0121,0.0,-50.19,0.0,2.4,0.0,0.9,"C | Ondas Inc | 1D ‖ {'Total PnL': '−5,018.60USD−50.19%', 'Max drawdown': '6,102.25USD61.02%', 'Profitable trades': '20.00%1/5', 'Profit factor': '0.276', 'Total trades': '5'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:SLNH,D,190.61,21.285,75.0,9.65,4.0,,-94.96,285.57,0.0088,0.0,190.61,0.0,3.62,0.14,0.86,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+19,061.49USD+190.61%', 'Max drawdown': '1,275.08USD9.65%', 'Profitable trades': '75.00%3/4', 'Profit factor': '21.285', 'Total trades': '4'}"
startupio,Diamond total (strict),Signal flip confirmBars=5,NASDAQ:CLSK,D,460.06,6.173,41.67,23.07,12.0,,-8.99,469.05,0.0268,275.63,184.43,0.0,9.93,0.91,0.75,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+46,005.74USD+460.06%', 'Max drawdown': '3,518.67USD23.07%', 'Profitable trades': '41.67%5/12', 'Profit factor': '6.173', 'Total trades': '12'}"
startupio,Diamond total (strict),Signal flip confirmBars=5 mtnStrict=true,NASDAQ:MRNA,D,31.27,3.452,75.0,11.92,4.0,,728.17,-696.9,0.0099,4.76,26.51,0.0,1.64,0.3,0.83,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+3,126.95USD+31.27%', 'Max drawdown': '1,401.00USD11.92%', 'Profitable trades': '75.00%3/4', 'Profit factor': '3.452', 'Total trades': '4'}"
startupio,Diamond total (strict),Signal flip confirmBars=5 mtnStrict=true,NASDAQ:PLTR,D,-0.8,0.985,22.22,32.9,9.0,,1769.89,-1770.7,0.0289,6.84,-7.64,0.0,6.67,0.01,0.88,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '−80.45USD−0.80%', 'Max drawdown': '3,289.58USD32.90%', 'Profitable trades': '22.22%2/9', 'Profit factor': '0.985', 'Total trades': '9'}"
startupio,Diamond total (strict),Signal flip confirmBars=5 mtnStrict=true,NASDAQ:NVDA,D,5.39,1.659,80.0,9.38,5.0,,4359.89,-4354.51,0.011,0.0,5.39,0.0,2.97,0.21,0.85,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+538.74USD+5.39%', 'Max drawdown': '1,029.88USD9.38%', 'Profitable trades': '80.00%4/5', 'Profit factor': '1.659', 'Total trades': '5'}"
startupio,Diamond total (strict),Signal flip confirmBars=5 mtnStrict=true,NASDAQ:INTC,D,-7.38,0.762,20.0,27.24,10.0,,131.8,-139.19,0.022,0.0,-7.38,0.0,3.15,0.01,0.84,"C | Intel Corporation | 1D ‖ {'Total PnL': '−738.42USD−7.38%', 'Max drawdown': '2,724.00USD27.24%', 'Profitable trades': '20.00%2/10', 'Profit factor': '0.762', 'Total trades': '10'}"
startupio,Diamond total (strict),Signal flip confirmBars=5 mtnStrict=true,NASDAQ:IREN,D,-91.79,0.035,20.0,99.54,5.0,,90.92,-182.71,0.0198,0.0,-91.79,0.0,4.62,0.0,0.92,"C | IREN LIMITED | 1D ‖ {'Total PnL': '−9,178.64USD−91.79%', 'Max drawdown': '9,953.95USD99.54%', 'Profitable trades': '20.00%1/5', 'Profit factor': '0.035', 'Total trades': '5'}"
