suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon hole C,Hole broke down +guard,NASDAQ:MRNA,D,322.85,2.728,44.44,31.94,18.0,,728.17,-548.43,0.0443,-4.53,184.33,0.0,25.93,0.88,0.81,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+32,284.93USD+322.85%', 'Max drawdown': '3,194.37USD31.94%', 'Profitable trades': '44.44%8/18', 'Profit factor': '2.728', 'Total trades': '18'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:PLTR,D,11.31,1.076,16.67,95.51,18.0,,1769.89,-1758.59,0.0578,-41.8,53.11,0.0,26.22,0.0,0.93,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+1,130.89USD+11.31%', 'Max drawdown': '9,550.59USD95.51%', 'Profitable trades': '16.67%3/18', 'Profit factor': '1.076', 'Total trades': '18'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:NVDA,D,131.47,2.604,47.62,17.48,21.0,,4359.89,-4228.75,0.0462,0.0,131.19,0.0,36.67,1.38,0.81,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+13,147.16USD+131.47%', 'Max drawdown': '2,761.36USD17.48%', 'Profitable trades': '47.62%10/21', 'Profit factor': '2.604', 'Total trades': '21'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:INTC,D,-53.37,0.592,34.78,109.32,23.0,,131.8,-185.18,0.0506,-2.78,-50.59,0.0,23.97,0.0,0.85,"C | Intel Corporation | 1D ‖ {'Total PnL': '−5,337.33USD−53.37%', 'Max drawdown': '10,931.61USD109.32%', 'Profitable trades': '34.78%8/23', 'Profit factor': '0.592', 'Total trades': '23'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:IREN,D,324.11,3.405,45.45,56.66,11.0,,90.92,233.19,0.0436,0.0,324.11,0.0,34.3,0.23,0.81,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+32,411.39USD+324.11%', 'Max drawdown': '5,665.76USD56.66%', 'Profitable trades': '45.45%5/11', 'Profit factor': '3.405', 'Total trades': '11'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:ONDS,D,426.37,4.091,36.36,136.14,11.0,,-45.26,471.63,0.0267,-26.14,452.51,0.0,28.95,0.02,0.88,"C | Ondas Inc | 1D ‖ {'Total PnL': '+42,636.96USD+426.37%', 'Max drawdown': '13,613.97USD136.14%', 'Profitable trades': '36.36%4/11', 'Profit factor': '4.091', 'Total trades': '11'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:SLNH,D,383.56,2.67,35.29,48.18,17.0,,-94.96,478.52,0.0374,0.0,383.56,0.0,27.65,0.47,0.82,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+38,355.76USD+383.56%', 'Max drawdown': '11,702.16USD48.18%', 'Profitable trades': '35.29%6/17', 'Profit factor': '2.67', 'Total trades': '17'}"
homily,Dragon hole C,Hole broke down +guard,NASDAQ:CLSK,D,284.49,2.055,42.86,46.23,21.0,,-8.99,293.49,0.0468,-3.54,288.04,0.0,27.67,0.89,0.74,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+28,449.16USD+284.49%', 'Max drawdown': '10,963.01USD46.23%', 'Profitable trades': '42.86%9/21', 'Profit factor': '2.055', 'Total trades': '21'}"
homily,Dragon hole D,Hole broke down +guard,NASDAQ:MRNA,D,261.53,2.911,46.15,32.41,13.0,,728.17,-609.75,0.032,-4.84,123.31,0.0,19.18,0.63,0.82,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+26,152.85USD+261.53%', 'Max drawdown': '3,241.22USD32.41%', 'Profitable trades': '46.15%6/13', 'Profit factor': '2.911', 'Total trades': '13'}"
homily,Dragon hole D,Hole broke down +guard,NASDAQ:PLTR,D,49.68,1.453,23.08,81.52,13.0,,1769.89,-1720.22,0.0418,-41.8,91.48,0.0,21.28,0.01,0.89,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+4,967.54USD+49.68%', 'Max drawdown': '8,151.78USD81.52%', 'Profitable trades': '23.08%3/13', 'Profit factor': '1.453', 'Total trades': '13'}"
