suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon hole ref,Hole broke down,NASDAQ:MRNA,D,404.75,3.205,47.37,40.4,19.0,,728.17,-466.53,0.0468,77.13,184.57,0.0,37.19,0.74,0.8,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+40,475.19USD+404.75%', 'Max drawdown': '4,040.45USD40.40%', 'Profitable trades': '47.37%9/19', 'Profit factor': '3.205', 'Total trades': '19'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:PLTR,D,60.81,1.374,30.0,93.31,20.0,,1769.89,-1709.08,0.0642,-9.72,70.53,0.0,39.43,0.01,0.89,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+6,080.99USD+60.81%', 'Max drawdown': '9,331.37USD93.31%', 'Profitable trades': '30.00%6/20', 'Profit factor': '1.374', 'Total trades': '20'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:NVDA,D,335.4,3.67,51.85,15.22,27.0,,4359.89,-4024.82,0.0594,227.58,107.55,0.0,57.95,1.6,0.77,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+33,540.48USD+335.40%', 'Max drawdown': '3,338.57USD15.22%', 'Profitable trades': '51.85%14/27', 'Profit factor': '3.67', 'Total trades': '27'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:INTC,D,94.6,1.581,32.0,138.29,25.0,,131.8,-37.2,0.055,-10.39,104.99,0.0,37.08,0.02,0.88,"C | Intel Corporation | 1D ‖ {'Total PnL': '+9,460.41USD+94.60%', 'Max drawdown': '13,829.03USD138.29%', 'Profitable trades': '32.00%8/25', 'Profit factor': '1.581', 'Total trades': '25'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:IREN,D,309.64,3.301,45.45,77.74,11.0,,90.92,218.72,0.0436,-33.13,342.77,0.0,37.43,0.09,0.83,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+30,964.35USD+309.64%', 'Max drawdown': '7,774.36USD77.74%', 'Profitable trades': '45.45%5/11', 'Profit factor': '3.301', 'Total trades': '11'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:ONDS,D,357.63,2.73,33.33,204.88,12.0,,-45.26,402.88,0.0291,-57.12,414.74,0.0,30.96,0.02,0.87,"C | Ondas Inc | 1D ‖ {'Total PnL': '+35,762.55USD+357.63%', 'Max drawdown': '20,488.38USD204.88%', 'Profitable trades': '33.33%4/12', 'Profit factor': '2.73', 'Total trades': '12'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:SLNH,D,363.39,2.713,37.5,45.39,16.0,,-94.96,458.35,0.0352,7.19,356.19,0.0,29.25,0.4,0.81,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+36,338.59USD+363.39%', 'Max drawdown': '12,025.75USD45.39%', 'Profitable trades': '37.50%6/16', 'Profit factor': '2.713', 'Total trades': '16'}"
homily,Dragon hole ref,Hole broke down,NASDAQ:CLSK,D,239.65,1.776,40.0,99.02,20.0,,-8.99,248.65,0.0446,-82.66,322.31,0.0,32.97,0.02,0.86,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+23,965.19USD+239.65%', 'Max drawdown': '10,963.01USD99.02%', 'Profitable trades': '40.00%8/20', 'Profit factor': '1.776', 'Total trades': '20'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:MRNA,D,368.58,3.075,39.53,42.22,43.0,,728.17,-359.59,0.1059,100.98,267.59,0.0,26.7,1.03,0.81,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+36,857.81USD+368.58%', 'Max drawdown': '4,222.00USD42.22%', 'Profitable trades': '39.53%17/43', 'Profit factor': '3.075', 'Total trades': '43'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:PLTR,D,119.55,1.779,36.0,75.07,25.0,,1769.89,-1650.35,0.0803,17.01,102.53,0.0,32.35,0.11,0.85,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+11,954.67USD+119.55%', 'Max drawdown': '7,506.63USD75.07%', 'Profitable trades': '36.00%9/25', 'Profit factor': '1.779', 'Total trades': '25'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:NVDA,D,277.99,2.531,34.78,36.85,46.0,,4359.89,-4081.9,0.1012,231.85,46.14,0.0,44.7,1.08,0.83,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+27,799.08USD+277.99%', 'Max drawdown': '4,265.53USD36.85%', 'Profitable trades': '34.78%16/46', 'Profit factor': '2.531', 'Total trades': '46'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:INTC,D,62.66,1.388,30.95,99.63,42.0,,131.8,-69.14,0.0924,121.08,-58.42,0.0,24.43,0.02,0.89,"C | Intel Corporation | 1D ‖ {'Total PnL': '+6,266.42USD+62.66%', 'Max drawdown': '9,963.06USD99.63%', 'Profitable trades': '30.95%13/42', 'Profit factor': '1.388', 'Total trades': '42'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:IREN,D,224.1,2.125,29.17,32.86,24.0,,90.92,133.18,0.0951,-6.81,230.91,0.0,23.25,1.17,0.77,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+22,410.25USD+224.10%', 'Max drawdown': '7,716.79USD32.86%', 'Profitable trades': '29.17%7/24', 'Profit factor': '2.125', 'Total trades': '24'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:ONDS,D,49.59,1.257,35.0,181.89,20.0,,-45.26,94.84,0.0485,-43.67,93.25,0.0,22.02,0.01,0.87,"C | Ondas Inc | 1D ‖ {'Total PnL': '+4,958.52USD+49.59%', 'Max drawdown': '18,189.05USD181.89%', 'Profitable trades': '35.00%7/20', 'Profit factor': '1.257', 'Total trades': '20'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:SLNH,D,346.27,2.178,33.33,45.07,39.0,,-94.96,441.23,0.0858,50.66,295.61,0.0,16.36,1.04,0.78,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+34,627.25USD+346.27%', 'Max drawdown': '11,740.66USD45.07%', 'Profitable trades': '33.33%13/39', 'Profit factor': '2.178', 'Total trades': '39'}"
homily,Dragon hole ref,Chandelier 3 ATR,NASDAQ:CLSK,D,424.57,2.342,41.03,28.52,39.0,,-8.99,433.56,0.087,37.02,387.54,0.0,17.99,1.69,0.75,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+42,456.55USD+424.57%', 'Max drawdown': '12,161.52USD28.52%', 'Profitable trades': '41.03%16/39', 'Profit factor': '2.342', 'Total trades': '39'}"
homily,Dragon hole C,Hole broke down,NASDAQ:MRNA,D,401.69,3.488,50.0,40.4,18.0,,728.17,-469.58,0.0443,77.13,181.51,0.0,35.4,0.79,0.78,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+40,169.30USD+401.69%', 'Max drawdown': '4,040.45USD40.40%', 'Profitable trades': '50.00%9/18', 'Profit factor': '3.488', 'Total trades': '18'}"
homily,Dragon hole C,Hole broke down,NASDAQ:PLTR,D,45.4,1.286,21.05,89.9,19.0,,1769.89,-1724.5,0.061,-9.72,55.11,0.0,34.42,0.01,0.89,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+4,539.66USD+45.40%', 'Max drawdown': '8,989.54USD89.90%', 'Profitable trades': '21.05%4/19', 'Profit factor': '1.286', 'Total trades': '19'}"
homily,Dragon hole C,Hole broke down,NASDAQ:NVDA,D,314.5,4.604,50.0,16.31,20.0,,4359.89,-4045.72,0.044,227.58,86.65,0.0,47.67,1.47,0.77,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+31,450.34USD+314.50%', 'Max drawdown': '2,830.94USD16.31%', 'Profitable trades': '50.00%10/20', 'Profit factor': '4.604', 'Total trades': '20'}"
homily,Dragon hole C,Hole broke down,NASDAQ:INTC,D,89.33,1.545,30.43,139.64,23.0,,131.8,-42.48,0.0506,-15.26,104.58,0.0,33.15,0.02,0.86,"C | Intel Corporation | 1D ‖ {'Total PnL': '+8,932.75USD+89.33%', 'Max drawdown': '13,963.90USD139.64%', 'Profitable trades': '30.43%7/23', 'Profit factor': '1.545', 'Total trades': '23'}"
homily,Dragon hole C,Hole broke down,NASDAQ:IREN,D,309.64,3.301,45.45,77.74,11.0,,90.92,218.72,0.0436,-33.13,342.77,0.0,37.43,0.11,0.82,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+30,964.35USD+309.64%', 'Max drawdown': '7,774.36USD77.74%', 'Profitable trades': '45.45%5/11', 'Profit factor': '3.301', 'Total trades': '11'}"
homily,Dragon hole C,Hole broke down,NASDAQ:ONDS,D,388.6,3.212,36.36,173.91,11.0,,-45.26,433.86,0.0267,-26.14,414.74,0.0,30.38,0.01,0.88,"C | Ondas Inc | 1D ‖ {'Total PnL': '+38,860.05USD+388.60%', 'Max drawdown': '17,390.88USD173.91%', 'Profitable trades': '36.36%4/11', 'Profit factor': '3.212', 'Total trades': '11'}"
homily,Dragon hole C,Hole broke down,NASDAQ:SLNH,D,363.39,2.713,37.5,45.39,16.0,,-94.96,458.35,0.0352,7.19,356.19,0.0,29.25,0.44,0.81,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+36,338.59USD+363.39%', 'Max drawdown': '12,025.75USD45.39%', 'Profitable trades': '37.50%6/16', 'Profit factor': '2.713', 'Total trades': '16'}"
