file,title,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:MRNA,D,357.45,2.824,48.48,14.66,33.0,,,158.35,159.79,150.26,154.04,154.04,,1.94,0.67,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+35,744.51USD+357.45%', 'Max drawdown': '7,235.63USD14.66%', 'Profitable trades': '48.48%16/33', 'Profit factor': '2.824', 'Total trades': '33'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:PLTR,D,-10.76,0.0,0.0,14.15,1.0,,,177.18,177.75,172.0,177.64,177.64,,0.0,0.93,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '−1,075.91USD−10.76%', 'Max drawdown': '1,414.77USD14.15%', 'Profitable trades': '0.00%0/1', 'Profit factor': '0', 'Total trades': '1'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:NVDA,D,-3.06,0.0,0.0,25.0,3.0,,,219.35,222.73,218.03,222.27,222.27,,0.0,0.88,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '−305.83USD−3.06%', 'Max drawdown': '2,500.01USD25.00%', 'Profitable trades': '0.00%0/3', 'Profit factor': '0', 'Total trades': '3'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:INTC,D,-6.95,0.0,0.0,6.95,2.0,,,109.8,110.49,106.4,108.6,108.6,,0.0,0.89,"C | Intel Corporation | 1D ‖ {'Total PnL': '−695.04USD−6.95%', 'Max drawdown': '695.04USD6.95%', 'Profitable trades': '0.00%0/2', 'Profit factor': '0', 'Total trades': '2'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:IREN,D,416.88,4.739,43.75,23.04,16.0,,,44.7,46.74,43.36,46.68,46.68,,1.22,0.66,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+41,687.54USD+416.88%', 'Max drawdown': '7,544.86USD23.04%', 'Profitable trades': '43.75%7/16', 'Profit factor': '4.739', 'Total trades': '16'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:ONDS,D,-30.8,0.0,0.0,30.8,1.0,,,7.51,7.52,7.21,7.39,7.39,,0.0,0.93,"C | Ondas Inc | 1D ‖ {'Total PnL': '−3,079.68USD−30.80%', 'Max drawdown': '3,079.68USD30.80%', 'Profitable trades': '0.00%0/1', 'Profit factor': '0', 'Total trades': '1'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:SLNH,D,-31.2,0.258,40.0,33.55,5.0,,,1.2,1.28,1.2,1.26,1.26,,0.0,0.87,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '−3,120.07USD−31.20%', 'Max drawdown': '3,355.37USD33.55%', 'Profitable trades': '40.00%2/5', 'Profit factor': '0.258', 'Total trades': '5'}"
PUB_nlyrgnVJ8Zrisan2g01Sfv5x9RBKvpPL.pine,.,NASDAQ:CLSK,D,-19.36,0.673,25.0,46.55,4.0,,,13.77,14.49,13.39,14.47,14.47,,0.0,0.86,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '−1,935.68USD−19.36%', 'Max drawdown': '6,502.90USD46.55%', 'Profitable trades': '25.00%1/4', 'Profit factor': '0.673', 'Total trades': '4'}"
PUB_1a32fae03299466690dcdde76d812c78.pine,.,NASDAQ:MRNA,D,290.01,3.658,56.25,23.98,16.0,,,158.35,159.79,150.26,154.04,154.04,,1.43,0.63,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+29,001.24USD+290.01%', 'Max drawdown': '9,146.18USD23.98%', 'Profitable trades': '56.25%9/16', 'Profit factor': '3.658', 'Total trades': '16'}"
PUB_1a32fae03299466690dcdde76d812c78.pine,.,NASDAQ:PLTR,D,201.22,2.49,23.53,91.34,17.0,,,177.18,177.75,172.0,177.64,177.64,,0.02,0.87,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+20,122.44USD+201.22%', 'Max drawdown': '9,133.52USD91.34%', 'Profitable trades': '23.53%4/17', 'Profit factor': '2.49', 'Total trades': '17'}"
PUB_1a32fae03299466690dcdde76d812c78.pine,.,NASDAQ:NVDA,D,1219.27,4.466,41.79,22.76,67.0,,,219.35,222.73,218.03,222.27,222.27,,2.31,0.64,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+121,927.37USD+1,219.27%', 'Max drawdown': '8,338.19USD22.76%', 'Profitable trades': '41.79%28/67', 'Profit factor': '4.466', 'Total trades': '67'}"
PUB_1a32fae03299466690dcdde76d812c78.pine,.,NASDAQ:INTC,D,856.73,2.372,39.72,25.14,141.0,,,109.8,110.49,106.4,108.6,108.6,,2.42,0.61,"C | Intel Corporation | 1D ‖ {'Total PnL': '+85,673.01USD+856.73%', 'Max drawdown': '12,404.28USD25.14%', 'Profitable trades': '39.72%56/141', 'Profit factor': '2.372', 'Total trades': '141'}"
