entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,bracket +2/−4 20b,in-sample,all,all,all,4074,5613,0.407,12.2,0.69,ATR,1.36
STRUCTURE,bracket +2/−4 20b,in-sample,all,all,bull,2310,3183,0.361,8.8,0.702,ATR,1.05
STRUCTURE,bracket +2/−4 20b,in-sample,all,all,bear,1764,2430,0.468,8.4,0.676,ATR,1.76
STRUCTURE,bracket +2/−4 20b,in-sample,all,<3,all,1717,2366,0.452,8.4,0.705,ATR,1.14
STRUCTURE,bracket +2/−4 20b,in-sample,all,<3,bull,1060,1460,0.463,7.4,0.732,ATR,1.13
STRUCTURE,bracket +2/−4 20b,in-sample,all,<3,bear,657,905,0.435,4.5,0.661,ATR,1.15
STRUCTURE,bracket +2/−4 20b,in-sample,all,3-5,all,1504,2072,0.501,9.4,0.717,ATR,1.84
STRUCTURE,bracket +2/−4 20b,in-sample,all,3-5,bull,816,1124,0.346,5.1,0.711,ATR,1.33
STRUCTURE,bracket +2/−4 20b,in-sample,all,3-5,bear,688,948,0.685,8.1,0.725,ATR,2.44
STRUCTURE,bracket +2/−4 20b,in-sample,all,5-8,all,572,788,0.187,2.1,0.628,ATR,1.03
STRUCTURE,bracket +2/−4 20b,in-sample,all,5-8,bull,300,413,0.266,2.6,0.65,ATR,1.59
STRUCTURE,bracket +2/−4 20b,in-sample,all,5-8,bear,272,375,0.099,0.7,0.603,ATR,0.42
STRUCTURE,bracket +2/−4 20b,in-sample,500M-2B,all,all,481,663,0.153,1.5,0.638,ATR,0.45
STRUCTURE,bracket +2/−4 20b,in-sample,500M-2B,all,bull,272,375,0.202,1.7,0.665,ATR,0.98
STRUCTURE,bracket +2/−4 20b,in-sample,500M-2B,all,bear,209,288,0.088,0.5,0.603,ATR,-0.25
STRUCTURE,bracket +2/−4 20b,in-sample,500M-2B,3-5,all,196,270,0.247,1.6,0.684,ATR,0.83
STRUCTURE,bracket +2/−4 20b,in-sample,2B-5B,all,all,1153,1589,0.254,4.0,0.651,ATR,0.9
STRUCTURE,bracket +2/−4 20b,in-sample,2B-5B,all,bull,667,919,0.196,2.5,0.652,ATR,0.41
STRUCTURE,bracket +2/−4 20b,in-sample,2B-5B,all,bear,486,670,0.334,3.1,0.65,ATR,1.58
STRUCTURE,bracket +2/−4 20b,in-sample,2B-5B,<3,all,334,460,0.187,1.4,0.656,ATR,0.47
