file,title,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,TENB,D,0.06,1.004,32.0,4.96,25.0,,37.34,31.42,0.0,0.0,0.0,,,0.78,0.74,"V | Tenable Holdings, Inc. | 1D ‖ {'Total PnL': '+63.87USD+0.06%', 'Max drawdown': '4,964.94USD4.96%', 'Profitable trades': '32.00%8/25', 'Profit factor': '1.004', 'Total trades': '25'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,ENPH,D,76.53,3.491,43.9,5.68,41.0,,39.96,33.85,0.0,0.0,0.0,,,2.32,0.55,"V | Enphase Energy, Inc. | 1D ‖ {'Total PnL': '+76,532.72USD+76.53%', 'Max drawdown': '6,568.97USD5.68%', 'Profitable trades': '43.90%18/41', 'Profit factor': '3.491', 'Total trades': '41'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,WING,D,4.54,1.257,35.9,6.67,39.0,,120.67,101.92,0.0,0.0,0.0,,,1.38,0.67,"V | Wingstop Inc. | 1D ‖ {'Total PnL': '+4,539.16USD+4.54%', 'Max drawdown': '6,787.25USD6.67%', 'Profitable trades': '35.90%14/39', 'Profit factor': '1.257', 'Total trades': '39'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,BBWI,D,101.67,2.65,51.48,3.4,169.0,,20.25,17.43,0.0,0.0,0.0,,,2.87,0.48,"V | Bath & Body Works, Inc. | 1D ‖ {'Total PnL': '+101,671.38USD+101.67%', 'Max drawdown': '6,875.36USD3.40%', 'Profitable trades': '51.48%87/169', 'Profit factor': '2.65', 'Total trades': '169'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,LEU,D,21.08,1.292,37.97,26.44,79.0,,196.09,162.44,0.0,0.0,0.0,,,1.4,0.69,"V | Centrus Energy Corp. | 1D ‖ {'Total PnL': '+21,079.97USD+21.08%', 'Max drawdown': '27,765.55USD26.44%', 'Profitable trades': '37.97%30/79', 'Profit factor': '1.292', 'Total trades': '79'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,IOVA,D,32.13,1.594,52.94,8.7,34.0,,9.09,7.73,0.0,0.0,0.0,,,2.06,0.52,"V | Iovance Biotherapeutics, Inc. | 1D ‖ {'Total PnL': '+32,130.02USD+32.13%', 'Max drawdown': '10,585.52USD8.70%', 'Profitable trades': '52.94%18/34', 'Profit factor': '1.594', 'Total trades': '34'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,AMBA,D,15.07,1.555,47.73,7.28,44.0,,73.84,61.02,0.0,0.0,0.0,,,2.06,0.57,"V | Ambarella, Inc. | 1D ‖ {'Total PnL': '+15,065.34USD+15.07%', 'Max drawdown': '8,920.07USD7.28%', 'Profitable trades': '47.73%21/44', 'Profit factor': '1.555', 'Total trades': '44'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,RH,D,10.06,1.323,41.67,11.05,48.0,,158.63,135.09,0.0,0.0,0.0,,,1.8,0.64,"V | RH | 1D ‖ {'Total PnL': '+10,058.56USD+10.06%', 'Max drawdown': '11,940.12USD11.05%', 'Profitable trades': '41.67%20/48', 'Profit factor': '1.323', 'Total trades': '48'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,FSLY,D,8.78,1.402,51.72,7.31,29.0,,25.23,20.17,0.0,0.0,0.0,,,1.75,0.55,"V | Fastly, Inc. | 1D ‖ {'Total PnL': '+8,784.24USD+8.78%', 'Max drawdown': '8,000.41USD7.31%', 'Profitable trades': '51.72%15/29', 'Profit factor': '1.402', 'Total trades': '29'}"
strategy_dragon_tree.pine,^DRAGON\ TREE\ \(strat,PLUG,D,95.87,2.715,43.42,8.37,76.0,,2.36,2.0,0.0,0.0,0.0,,,2.55,0.63,"V | Plug Power, Inc. | 1D ‖ {'Total PnL': '+95,871.20USD+95.87%', 'Max drawdown': '11,374.47USD8.37%', 'Profitable trades': '43.42%33/76', 'Profit factor': '2.715', 'Total trades': '76'}"
