file,title,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,TENB,D,-3.65,0.74,25.0,6.09,20.0,,37.34,31.42,0.0,0.0,0.0,,,0.36,0.72,"V | Tenable Holdings, Inc. | 1D ‖ {'Total PnL': '−3,648.16USD−3.65%', 'Max drawdown': '6,087.94USD6.09%', 'Profitable trades': '25.00%5/20', 'Profit factor': '0.74', 'Total trades': '20'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,ENPH,D,67.18,3.507,35.48,6.03,31.0,,39.96,33.85,0.0,0.0,0.0,,,2.15,0.6,"V | Enphase Energy, Inc. | 1D ‖ {'Total PnL': '+67,175.18USD+67.18%', 'Max drawdown': '10,684.25USD6.03%', 'Profitable trades': '35.48%11/31', 'Profit factor': '3.507', 'Total trades': '31'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,WING,D,4.71,1.346,36.67,6.12,30.0,,120.67,101.92,0.0,0.0,0.0,,,1.28,0.66,"V | Wingstop Inc. | 1D ‖ {'Total PnL': '+4,711.96USD+4.71%', 'Max drawdown': '6,119.93USD6.12%', 'Profitable trades': '36.67%11/30', 'Profit factor': '1.346', 'Total trades': '30'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,BBWI,D,97.54,3.177,45.04,3.47,131.0,,20.25,17.43,0.0,0.0,0.0,,,2.7,0.56,"V | Bath & Body Works, Inc. | 1D ‖ {'Total PnL': '+97,536.92USD+97.54%', 'Max drawdown': '6,288.95USD3.47%', 'Profitable trades': '45.04%59/131', 'Profit factor': '3.177', 'Total trades': '131'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,LEU,D,24.23,1.532,39.58,15.01,48.0,,196.09,162.44,0.0,0.0,0.0,,,1.84,0.65,"V | Centrus Energy Corp. | 1D ‖ {'Total PnL': '+24,225.57USD+24.23%', 'Max drawdown': '15,731.23USD15.01%', 'Profitable trades': '39.58%19/48', 'Profit factor': '1.532', 'Total trades': '48'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,IOVA,D,23.24,1.325,43.48,7.33,23.0,,9.09,7.73,0.0,0.0,0.0,,,1.55,0.59,"V | Iovance Biotherapeutics, Inc. | 1D ‖ {'Total PnL': '+23,235.42USD+23.24%', 'Max drawdown': '7,332.25USD7.33%', 'Profitable trades': '43.48%10/23', 'Profit factor': '1.325', 'Total trades': '23'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,AMBA,D,16.76,1.837,48.48,5.66,33.0,,73.84,61.02,0.0,0.0,0.0,,,1.9,0.55,"V | Ambarella, Inc. | 1D ‖ {'Total PnL': '+16,764.26USD+16.76%', 'Max drawdown': '6,947.07USD5.66%', 'Profitable trades': '48.48%16/33', 'Profit factor': '1.837', 'Total trades': '33'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,RH,D,11.6,1.545,37.14,5.84,35.0,,158.63,135.09,0.0,0.0,0.0,,,1.79,0.66,"V | RH | 1D ‖ {'Total PnL': '+11,599.31USD+11.60%', 'Max drawdown': '6,615.75USD5.84%', 'Profitable trades': '37.14%13/35', 'Profit factor': '1.545', 'Total trades': '35'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,FSLY,D,1.47,1.073,45.0,10.91,20.0,,25.23,20.17,0.0,0.0,0.0,,,0.68,0.69,"V | Fastly, Inc. | 1D ‖ {'Total PnL': '+1,470.29USD+1.47%', 'Max drawdown': '11,932.29USD10.91%', 'Profitable trades': '45.00%9/20', 'Profit factor': '1.073', 'Total trades': '20'}"
strategy_tree_runner_only.pine,^DRAGON\ TREE\ runner,PLUG,D,85.37,3.759,31.43,11.89,35.0,,2.36,2.0,0.0,0.0,0.0,,,2.04,0.65,"V | Plug Power, Inc. | 1D ‖ {'Total PnL': '+85,371.00USD+85.37%', 'Max drawdown': '16,153.81USD11.89%', 'Profitable trades': '31.43%11/35', 'Profit factor': '3.759', 'Total trades': '35'}"
