file,title,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,TENB,D,0.55,1.028,25.93,11.44,27.0,,37.34,31.42,0.0,0.0,0.0,,,0.74,0.77,"V | Tenable Holdings, Inc. | 1D ‖ {'Total PnL': '+554.27USD+0.55%', 'Max drawdown': '12,056.54USD11.44%', 'Profitable trades': '25.93%7/27', 'Profit factor': '1.028', 'Total trades': '27'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,ENPH,D,72.91,2.854,38.3,9.52,47.0,,39.96,33.85,0.0,0.0,0.0,,,2.22,0.58,"V | Enphase Energy, Inc. | 1D ‖ {'Total PnL': '+72,905.11USD+72.91%', 'Max drawdown': '11,743.27USD9.52%', 'Profitable trades': '38.30%18/47', 'Profit factor': '2.854', 'Total trades': '47'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,WING,D,17.09,1.994,42.86,5.44,35.0,,120.67,101.92,0.0,0.0,0.0,,,2.12,0.56,"V | Wingstop Inc. | 1D ‖ {'Total PnL': '+17,092.75USD+17.09%', 'Max drawdown': '6,706.83USD5.44%', 'Profitable trades': '42.86%15/35', 'Profit factor': '1.994', 'Total trades': '35'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,BBWI,D,112.75,2.538,42.55,4.62,188.0,,20.25,17.43,0.0,0.0,0.0,,,2.73,0.47,"V | Bath & Body Works, Inc. | 1D ‖ {'Total PnL': '+112,747.64USD+112.75%', 'Max drawdown': '8,477.59USD4.62%', 'Profitable trades': '42.55%80/188', 'Profit factor': '2.538', 'Total trades': '188'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,LEU,D,7.54,1.082,36.59,42.02,82.0,,196.09,162.44,0.0,0.0,0.0,,,0.46,0.76,"V | Centrus Energy Corp. | 1D ‖ {'Total PnL': '+7,535.95USD+7.54%', 'Max drawdown': '45,129.51USD42.02%', 'Profitable trades': '36.59%30/82', 'Profit factor': '1.082', 'Total trades': '82'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,IOVA,D,24.69,1.175,32.61,18.21,46.0,,9.09,7.73,0.0,0.0,0.0,,,1.33,0.67,"V | Iovance Biotherapeutics, Inc. | 1D ‖ {'Total PnL': '+24,692.54USD+24.69%', 'Max drawdown': '18,208.06USD18.21%', 'Profitable trades': '32.61%15/46', 'Profit factor': '1.175', 'Total trades': '46'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,AMBA,D,18.15,1.529,47.06,9.05,51.0,,73.84,61.02,0.0,0.0,0.0,,,1.99,0.57,"V | Ambarella, Inc. | 1D ‖ {'Total PnL': '+18,146.51USD+18.15%', 'Max drawdown': '10,943.16USD9.05%', 'Profitable trades': '47.06%24/51', 'Profit factor': '1.529', 'Total trades': '51'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,RH,D,30.91,2.334,42.22,6.34,45.0,,158.63,135.09,0.0,0.0,0.0,,,2.37,0.59,"V | RH | 1D ‖ {'Total PnL': '+30,908.58USD+30.91%', 'Max drawdown': '8,601.61USD6.34%', 'Profitable trades': '42.22%19/45', 'Profit factor': '2.334', 'Total trades': '45'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,FSLY,D,14.36,1.424,33.33,15.1,30.0,,25.23,20.17,0.0,0.0,0.0,,,1.5,0.65,"V | Fastly, Inc. | 1D ‖ {'Total PnL': '+14,364.49USD+14.36%', 'Max drawdown': '19,411.31USD15.10%', 'Profitable trades': '33.33%10/30', 'Profit factor': '1.424', 'Total trades': '30'}"
strategy_tree_runner_ungated.pine,^DRAGON\ TREE\ runner,PLUG,D,67.19,1.827,32.14,26.54,84.0,,2.36,2.0,0.0,0.0,0.0,,,2.04,0.65,"V | Plug Power, Inc. | 1D ‖ {'Total PnL': '+67,187.18USD+67.19%', 'Max drawdown': '36,928.66USD26.54%', 'Profitable trades': '32.14%27/84', 'Profit factor': '1.827', 'Total trades': '84'}"
