ticker,close,tier,diamond_strict,quality,bars_since_break,panels,whales,retail,mountain,blue_confirmed,pink_confirmed,gold_dist_atr,bubble,atr_pct,hole,date
TEM,77.84,E+F,True,2.17,0.0,6,96,0,4,3,0,2.5,4.1,6.3,BROKE UP,2026-09-18
P,104.14,E+F,True,3.02,0.0,7,78,10,4,3,0,1.0,5.2,5.5,BROKE UP,2026-09-18
HPE,60.76,E+F,False,2.44,0.0,6,89,2,4,2,0,1.3,6.0,6.0,BROKE UP,2026-09-18
RBRK,106.71,E+F,False,2.24,2.0,6,95,0,4,2,0,1.7,5.0,5.7,BROKE UP,2026-09-18
INTC,108.6,E+F,False,2.76,0.0,6,50,32,3,2,0,1.6,4.6,5.4,BROKE UP,2026-09-18
NET,323.6,E+F,False,2.46,3.0,6,94,0,3,2,0,1.0,4.7,5.4,BROKE UP,2026-09-18
ZS,197.31,E,True,1.83,3.0,6,95,0,4,3,0,1.8,2.1,4.9,BROKE UP,2026-09-18
DT,55.14,E,False,1.74,2.0,6,93,0,4,1,0,1.5,5.5,3.4,BROKE UP,2026-09-18
FFIV,432.03,E,False,1.86,2.0,6,86,0,3,0,0,1.6,5.5,3.3,BROKE UP,2026-09-18
A,156.47,E,False,1.94,0.0,7,84,0,3,3,0,1.5,5.4,2.6,BROKE UP,2026-09-18
CRWD,237.65,D+F,False,1.97,3.0,5,96,0,4,1,0,1.3,5.9,5.4,BROKE UP,2026-09-18
HPQ,34.4,D,False,1.31,0.0,4,95,1,3,1,1,1.4,5.4,4.7,BROKE UP,2026-09-18
DOCU,69.07,D,False,1.36,3.0,4,95,0,4,1,1,1.1,4.2,4.1,BROKE UP,2026-09-18
BBY,92.85,D,False,1.38,3.0,5,94,0,4,1,0,1.1,5.2,3.4,BROKE UP,2026-09-18
UHS,176.69,D,False,1.42,1.0,5,74,1,3,2,1,0.5,0.1,3.1,BROKE UP,2026-09-18
DE,683.99,D,False,1.31,0.0,4,88,0,4,0,2,1.1,5.8,2.5,BROKE UP,2026-09-18
SWKS,88.76,C+F,False,0.6,8.0,6,94,0,4,2,0,2.2,5.2,5.6,BROKE UP,2026-09-18
RBLX,47.82,C,False,0.69,8.0,5,51,30,3,1,0,1.4,0.0,4.8,BROKE UP,2026-09-18
META,665.75,C,False,0.29,10.0,6,81,0,4,2,0,1.8,3.1,3.2,BROKE UP,2026-09-18
PBR,20.8,C,False,0.17,12.0,3,54,3,4,1,2,0.9,5.2,2.9,BROKE UP,2026-09-18
CRBG,34.81,C,False,0.25,9.0,5,89,0,4,0,0,1.1,5.5,2.3,BROKE UP,2026-09-18
EQH,53.95,C,False,0.47,5.0,6,91,0,4,1,0,1.4,5.7,2.3,BROKE UP,2026-09-18
CVX,209.51,C,False,0.12,12.0,4,80,0,3,1,0,0.3,5.4,2.1,BROKE UP,2026-09-18
MRVL,244.25,armed (hole in force),True,,,5,53,39,4,3,0,1.2,4.7,5.9,in force,2026-09-18
ARE,53.3,armed (hole in force),True,,,5,77,1,4,3,0,0.6,0.0,3.8,in force,2026-09-18
DXCM,89.35,armed (hole in force),True,,,6,80,2,4,3,0,0.9,5.4,2.8,in force,2026-09-18
MRNA,154.04,armed (hole in force),False,,,5,79,6,4,2,0,1.5,7.2,7.6,in force,2026-09-18
LITE,930.91,armed (hole in force),False,,,5,55,14,4,0,1,0.6,3.3,7.2,in force,2026-09-18
BE,265.63,armed (hole in force),False,,,4,62,20,4,1,0,0.9,3.4,7.1,in force,2026-09-18
BMNR,25.99,armed (hole in force),False,,,4,81,7,3,1,0,1.4,2.0,6.7,in force,2026-09-18
