rank,confirm,min_move,mountain,entry,n_is,n_oos,oos_avg,oos_med,oos_win,oos_pf,oos_per_wk,oos_tick_pos,oos_total,oos_bars,is_avg,is_pf,thin
1.0,2,10.0,c,strict,286,170,11.24,-1.37,0.418,3.18,1.2,0.47,1910.4,12.7,4.87,2.06,False
2.0,2,10.0,b,strict,282,169,10.54,-1.68,0.42,3.32,1.19,0.47,1781.6,12.1,5.79,2.49,False
3.0,2,15.0,b,strict,225,114,9.31,-2.64,0.377,2.68,0.81,0.36,1061.2,11.5,5.16,2.19,False
4.0,5,10.0,a,strict,617,402,8.9,-2.7,0.386,2.7,2.84,0.49,3577.5,12.7,3.11,1.77,False
5.0,3,10.0,c,strict,333,214,8.87,-2.19,0.397,2.67,1.51,0.48,1898.9,12.5,4.44,1.97,False
6.0,3,10.0,b,strict,339,217,8.11,-2.33,0.406,2.68,1.53,0.43,1759.8,11.7,5.12,2.3,False
7.0,5,10.0,b,strict,408,266,7.7,-2.38,0.406,2.55,1.88,0.43,2048.2,11.5,5.06,2.27,False
8.0,2,10.0,a,strict,427,271,7.67,-1.87,0.413,2.57,1.91,0.48,2079.7,13.1,3.62,1.87,False
9.0,5,10.0,c,strict,397,245,7.36,-2.75,0.388,2.31,1.73,0.48,1804.1,12.3,3.88,1.87,False
10.0,2,5.0,b,strict,436,270,6.87,-2.43,0.389,2.45,1.91,0.44,1854.6,11.0,4.16,2.07,False
11.0,2,5.0,c,strict,409,256,6.61,-2.97,0.387,2.18,1.81,0.44,1692.9,11.9,4.4,1.91,False
12.0,5,15.0,b,strict,343,204,6.42,-2.84,0.382,2.17,1.44,0.43,1310.3,11.2,4.33,2.04,False
13.0,3,15.0,b,strict,278,155,6.32,-2.86,0.374,2.13,1.09,0.39,978.9,11.2,4.6,2.06,False
14.0,2,15.0,c,strict,220,134,6.1,-3.21,0.381,1.95,0.95,0.39,817.4,11.4,6.82,2.54,False
15.0,3,5.0,b,strict,519,332,5.95,-2.84,0.389,2.22,2.35,0.43,1975.6,11.0,4.08,2.05,False
16.0,3,10.0,a,strict,511,338,5.76,-2.87,0.388,2.11,2.39,0.46,1945.4,12.8,3.28,1.81,False
17.0,3,5.0,c,strict,468,311,5.65,-3.26,0.376,2.01,2.2,0.48,1756.8,12.2,4.14,1.85,False
18.0,5,5.0,b,strict,597,389,5.45,-2.73,0.396,2.11,2.75,0.48,2121.3,10.8,4.0,2.03,False
19.0,2,15.0,a,strict,366,198,5.28,-3.25,0.359,1.96,1.4,0.42,1044.6,12.4,3.66,1.86,False
20.0,2,5.0,a,strict,621,382,4.97,-2.86,0.39,2.0,2.7,0.48,1900.0,12.4,3.23,1.79,False
21.0,5,5.0,c,strict,528,355,4.87,-3.55,0.375,1.84,2.51,0.48,1728.9,12.1,3.85,1.8,False
22.0,3,15.0,c,strict,262,173,4.37,-3.22,0.37,1.69,1.22,0.42,755.2,11.6,5.75,2.27,False
23.0,5,15.0,b,2of3,2654,1504,4.33,-1.84,0.364,2.1,10.62,0.68,6505.8,9.1,1.95,1.66,False
24.0,3,5.0,a,strict,733,463,4.28,-3.12,0.38,1.85,3.27,0.48,1980.9,12.4,3.18,1.79,False
25.0,5,15.0,a,2of3,2913,1700,4.15,-2.52,0.34,1.94,12.01,0.67,7053.4,10.9,2.39,1.73,False
26.0,5,5.0,a,strict,839,532,4.04,-2.86,0.382,1.8,3.76,0.55,2147.6,12.2,3.17,1.81,False
27.0,5,10.0,b,2of3,2956,1712,4.0,-2.09,0.348,1.95,12.09,0.63,6849.4,9.0,2.22,1.74,False
28.0,5,10.0,a,2of3,3248,1941,3.92,-2.63,0.332,1.85,13.71,0.67,7600.0,10.9,2.62,1.78,False
