entry,quality,target_atr,stop_atr,max_bars,trades,win,exp_atr,exp_pct_approx,oos_trades,oos_win,oos_exp_atr
next open,all,0.5,1.0,5,3545,0.645,-0.024,-0.13,1563,0.616,-0.067
next open,all,0.5,1.0,10,3545,0.652,-0.022,-0.12,1563,0.622,-0.066
next open,all,0.5,1.0,20,3545,0.653,-0.021,-0.12,1563,0.624,-0.064
next open,all,0.5,1.5,5,3545,0.719,-0.002,-0.01,1563,0.7,-0.04
next open,all,0.5,1.5,10,3545,0.747,0.0,0.0,1563,0.729,-0.038
next open,all,0.5,1.5,20,3545,0.75,0.001,0.01,1563,0.733,-0.035
next open,all,0.5,2.0,5,3545,0.747,0.016,0.09,1563,0.734,-0.016
next open,all,0.5,2.0,10,3545,0.797,0.023,0.13,1563,0.786,-0.005
next open,all,0.5,2.0,20,3545,0.807,0.022,0.12,1563,0.797,-0.005
next open,all,0.5,3.0,5,3545,0.757,0.019,0.11,1563,0.749,-0.002
next open,all,0.5,3.0,10,3545,0.827,0.038,0.21,1563,0.823,0.029
next open,all,0.5,3.0,20,3545,0.86,0.045,0.25,1563,0.862,0.052
next open,all,0.5,4.0,5,3545,0.758,0.017,0.1,1563,0.75,-0.008
next open,all,0.5,4.0,10,3545,0.831,0.037,0.21,1563,0.825,0.02
next open,all,0.5,4.0,20,3545,0.873,0.046,0.26,1563,0.874,0.04
next open,all,1.0,1.0,5,3545,0.507,0.017,0.1,1563,0.493,-0.016
next open,all,1.0,1.0,10,3545,0.511,0.022,0.13,1563,0.491,-0.016
next open,all,1.0,1.0,20,3545,0.513,0.026,0.14,1563,0.495,-0.011
next open,all,1.0,1.5,5,3545,0.578,0.04,0.23,1563,0.568,0.009
next open,all,1.0,1.5,10,3545,0.612,0.047,0.26,1563,0.596,0.009
next open,all,1.0,1.5,20,3545,0.618,0.048,0.27,1563,0.603,0.011
next open,all,1.0,2.0,5,3545,0.605,0.057,0.32,1563,0.597,0.022
next open,all,1.0,2.0,10,3545,0.667,0.076,0.43,1563,0.651,0.035
next open,all,1.0,2.0,20,3545,0.688,0.075,0.42,1563,0.676,0.038
next open,all,1.0,3.0,5,3545,0.614,0.057,0.32,1563,0.609,0.031
next open,all,1.0,3.0,10,3545,0.699,0.085,0.48,1563,0.69,0.059
next open,all,1.0,3.0,20,3545,0.754,0.101,0.57,1563,0.754,0.095
next open,all,1.0,4.0,5,3545,0.615,0.054,0.3,1563,0.61,0.023
next open,all,1.0,4.0,10,3545,0.704,0.082,0.46,1563,0.694,0.054
next open,all,1.0,4.0,20,3545,0.772,0.109,0.61,1563,0.769,0.093
next open,all,1.5,1.0,5,3545,0.458,0.066,0.37,1563,0.441,0.031
next open,all,1.5,1.0,10,3545,0.44,0.083,0.46,1563,0.419,0.04
next open,all,1.5,1.0,20,3545,0.436,0.089,0.5,1563,0.421,0.049
next open,all,1.5,1.5,5,3545,0.529,0.098,0.55,1563,0.514,0.068
next open,all,1.5,1.5,10,3545,0.541,0.121,0.68,1563,0.525,0.082
next open,all,1.5,1.5,20,3545,0.542,0.129,0.72,1563,0.531,0.093
next open,all,1.5,2.0,5,3545,0.554,0.113,0.64,1563,0.541,0.074
next open,all,1.5,2.0,10,3545,0.594,0.15,0.85,1563,0.576,0.102
next open,all,1.5,2.0,20,3545,0.611,0.156,0.88,1563,0.602,0.119
next open,all,1.5,3.0,5,3545,0.562,0.111,0.62,1563,0.552,0.082
next open,all,1.5,3.0,10,3545,0.625,0.16,0.9,1563,0.614,0.13
next open,all,1.5,3.0,20,3545,0.683,0.2,1.13,1563,0.69,0.209
next open,all,1.5,4.0,5,3545,0.563,0.105,0.59,1563,0.552,0.069
next open,all,1.5,4.0,10,3545,0.63,0.155,0.87,1563,0.619,0.118
