account,post_date,ticker,their_call,event,conviction,our_state_date,dragon_C,diamond_strict,panels,hole,whales,blue_c,mountain,ours,agree,fwd10,url
dannycheng2022,2026-09-19,ARM,neutral,none,0.27,2026-09-18,False,False,4,0,45,2,3,bullish,,,https://x.com/dannycheng2022/status/2101290753423184143
dannycheng2022,2026-09-19,TSLA,neutral,none,0.03,2026-09-18,False,False,2,0,18,0,2,neutral,,,https://x.com/dannycheng2022/status/2101286976146080098
dannycheng2022,2026-09-19,AMD,bullish,none,2.34,2026-09-18,False,False,7,1,79,2,4,bullish,True,,https://x.com/dannycheng2022/status/2101241736437915810
dannycheng2022,2026-09-19,NVDA,bullish,none,2.34,2026-09-18,False,False,4,0,53,2,4,bullish,True,,https://x.com/dannycheng2022/status/2101241736437915810
dannycheng2022,2026-09-19,PLTR,bullish,none,2.34,2026-09-18,False,False,5,0,84,3,3,bullish,True,,https://x.com/dannycheng2022/status/2101241736437915810
dannycheng2022,2026-09-19,AMD,bullish,none,1.55,2026-09-18,False,False,7,1,79,2,4,bullish,True,,https://x.com/dannycheng2022/status/2101227794521068008
dannycheng2022,2026-09-19,NVDA,bullish,none,1.55,2026-09-18,False,False,4,0,53,2,4,bullish,True,,https://x.com/dannycheng2022/status/2101227794521068008
dannycheng2022,2026-09-19,PLTR,bullish,none,1.55,2026-09-18,False,False,5,0,84,3,3,bullish,True,,https://x.com/dannycheng2022/status/2101227794521068008
dannycheng2022,2026-09-19,SOFI,neutral,none,0.02,2026-09-18,False,False,0,-1,22,0,0,bearish,,,https://x.com/dannycheng2022/status/2101215704494252275
dannycheng2022,2026-09-19,AMD,bullish,none,1.46,2026-09-18,False,False,7,1,79,2,4,bullish,True,,https://x.com/dannycheng2022/status/2101213162553164035
dannycheng2022,2026-09-19,PLTR,bullish,none,1.46,2026-09-18,False,False,5,0,84,3,3,bullish,True,,https://x.com/dannycheng2022/status/2101213162553164035
dannycheng2022,2026-09-19,MRNA,neutral,volatility_hole,1.06,2026-09-18,False,False,5,0,79,2,4,bullish,,,https://x.com/dannycheng2022/status/2101210007870296524
dannycheng2022,2026-09-19,RIOT,bearish,candle_colour,0.75,2026-09-18,False,False,5,0,49,2,3,bullish,False,,https://x.com/dannycheng2022/status/2101208223047139705
dannycheng2022,2026-09-19,HUT,neutral,none,0.25,2026-09-18,False,False,3,0,39,0,3,neutral,,,https://x.com/dannycheng2022/status/2101207523458158996
