tier,f,N,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
C,0.005,5,full,232878.85180194664,0.08824852832966301,0.45299809390793533,343,31629,0.6576280471103807,4.934765314240255,30903,369,14,0,0.06369587936490984,0.5810968682662832,-0.2652550912732823,0.13533507264039302,0.07771770317743454,0.08744315503698163,-0.10767403400052677,0.03652276322391734,0.3906608649457026,-0.07927944909362916,0.19599793663186293
C,0.005,5,oos,168988.99472267707,0.2135731194048005,0.22096226755244686,99,9284,0.7000000000000001,4.995594713656388,9072,113,0,0,,,,,,,,,0.25370225195088536,0.14921037091678246,0.17290943526119462
C,0.005,10,full,643811.1811671302,0.20478368857731333,0.49532837183113676,584,31629,1.1196932347302109,8.675815433571996,16632,724,13689,0,0.04135754487377974,0.438033256690725,0.03566069308892095,0.13846351949441682,0.6573968694100591,0.023917182414718186,-0.22947069462292935,0.3804082481691464,0.30170943208581713,0.38821452412827195,0.11787802120855662
C,0.005,10,oos,200610.00009182395,0.29285487366522855,0.3283433314350519,186,9284,1.3151515151515152,9.355359765051395,6977,214,1907,0,,,,,,,,,0.44306126052639727,0.26786281044430105,0.0964669534619138
C,0.005,20,full,6595262.819362878,0.5205403633730656,0.56760137700821,695,31629,1.3325116406463984,10.619729514717582,1935,973,28026,0,0.04135754487377974,0.42338761507699685,-0.1956705704309627,0.07269650160739816,2.2890763446719156,0.7974114695740142,-0.24360261095125968,0.5646425398385291,2.493018170675942,0.35309223923126143,0.5594927739178546
C,0.005,20,oos,594487.4156906655,0.9302418433598942,0.4907085943647085,232,9284,1.6404040404040405,12.584434654919237,437,352,8263,0,,,,,,,,,2.7769903096912296,0.36817313028054,0.1504181851076365
C,0.01,5,full,510660.7893859694,0.17717856247254282,0.6231581247878085,341,31629,0.653793481238017,4.898965791567224,30185,383,720,0,0.08911893934567616,1.1497752945588666,-0.39020136870469,0.25256754506098744,0.15335256277599374,-0.013952646433629368,-0.13691045744787755,0.3295614592930518,0.7250536627086603,-0.035298217457198744,0.31479097682194856
C,0.01,5,oos,105854.96498283261,0.021214440352896435,0.37973715467868563,104,9284,0.7353535353535354,4.961820851688693,8942,105,133,0,,,,,,,,,0.3409450134377927,-0.11413769069222901,-0.10888441547119732
C,0.01,10,full,4224502.003565714,0.45426766015879094,0.6001658238085974,431,31629,0.8263489454943851,6.443118536197296,4126,576,26496,0,0.08203261385386607,1.5089445330278308,-0.0778219079309399,0.19294320974393098,2.2288019434852777,-0.19531679648448885,-0.35778277384825097,0.6133266621287623,1.3815801213978958,0.21700762526486428,0.8129275103969664
C,0.01,10,oos,484682.33852345496,0.7901612905781354,0.5781805609695416,133,9284,0.9404040404040405,7.236417033773862,1551,192,7408,0,,,,,,,,,2.444164917904801,0.4137002934074234,-0.004558121270926585
