ticker,tier,quality,last_close,live,session,gap_atr,atr_pct,dollar_vol_M,earnings_7d,decision,why,entry,target,stop,time_stop_bars,notional,shares,exp_win,exp_edge_atr,exp_edge_usd,panels,whales,mountain,bars_since_break
P,E+F,3.02,104.14,104.14,Closed,0.0,5.5,679.9,False,TAKE,,104.14,115.6,81.23,20,9091,87,0.68,0.42,210,7,78,4,0.0
INTC,E+F,2.76,108.6,108.6,Closed,0.0,5.4,9541.8,False,TAKE,,108.6,120.33,85.14,20,9259,85,0.68,0.42,210,6,50,3,0.0
NET,E+F,2.46,323.6,323.6,Closed,0.0,5.4,951.0,False,TAKE,,323.6,358.55,253.7,20,9259,28,0.68,0.42,210,6,94,3,3.0
HPE,E+F,2.44,60.76,60.76,Closed,0.0,6.0,1466.1,False,TAKE,,60.76,68.05,46.18,20,8333,137,0.68,0.42,210,6,89,4,0.0
RBRK,E+F,2.24,106.71,106.71,Closed,0.0,5.7,379.2,False,TAKE,,106.71,118.87,82.38,20,8772,82,0.68,0.42,210,6,95,4,2.0
TEM,E+F,2.17,77.84,77.84,Closed,0.0,6.3,525.8,False,TAKE,,77.84,87.65,58.22,20,7937,101,0.68,0.42,210,6,96,4,0.0
A,E,1.94,156.47,156.47,Closed,0.0,2.6,393.4,False,TAKE,,156.47,164.61,140.2,20,19231,122,0.63,0.16,80,7,84,3,0.0
FFIV,E,1.86,432.03,432.03,Closed,0.0,3.3,215.5,False,TAKE,,432.03,460.54,375.0,20,15152,35,0.61,0.19,95,6,86,3,2.0
ZS,E,1.83,197.31,197.31,Closed,0.0,4.9,650.0,False,TAKE,,197.31,216.65,158.64,20,10204,51,0.61,0.19,95,6,95,4,3.0
DT,E,1.74,55.14,55.14,Closed,0.0,3.4,340.9,False,TAKE,,55.14,58.89,47.64,20,14706,266,0.61,0.19,95,6,93,4,2.0
CRWD,D+F,1.97,237.65,237.65,Closed,0.0,5.4,2805.2,False,TAKE,,237.65,263.32,186.32,20,9259,38,0.68,0.42,210,5,96,4,3.0
UHS,D,1.42,176.69,176.69,Closed,0.0,3.1,126.0,False,TAKE,,176.69,187.64,154.78,20,16129,91,0.61,0.19,95,5,74,3,1.0
BBY,D,1.38,92.85,92.85,Closed,0.0,3.4,392.5,False,TAKE,,92.85,99.16,80.22,20,14706,158,0.61,0.19,95,5,94,4,3.0
DOCU,D,1.36,69.07,69.07,Closed,0.0,4.1,248.5,False,TAKE,,69.07,74.73,57.74,20,12195,176,0.61,0.19,95,4,95,4,3.0
HPQ,D,1.31,34.4,34.4,Closed,0.0,4.7,576.7,False,TAKE,,34.4,37.63,27.93,20,10638,309,0.61,0.19,95,4,95,3,0.0
