rule,year,n,total,win,avg,med,avg_atr,pf,per_wk,tick_pos,bear_n,bear_avg
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2017,243,1153.9,0.465,4.75,-0.77,2.47,2.39,4.67,0.64,126,6.9
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2018,238,-322.3,0.286,-1.35,-4.43,-0.43,0.77,4.58,0.23,19,-10.16
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2019,308,2699.5,0.471,8.76,-0.95,2.26,3.27,5.92,0.48,39,26.83
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2020,490,10809.1,0.514,22.06,0.56,3.37,6.64,9.42,0.77,78,37.76
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2021,434,493.1,0.343,1.14,-3.46,0.25,1.21,8.35,0.36,0,
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2022,223,-1482.3,0.179,-6.65,-7.47,-1.09,0.21,4.29,0.15,192,-6.21
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2023,550,2751.3,0.409,5.0,-3.07,1.42,1.96,10.58,0.53,35,17.93
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2024,583,7114.4,0.4,12.2,-3.15,2.14,2.98,11.21,0.55,0,
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2025,601,3988.3,0.406,6.64,-3.25,1.11,2.09,11.56,0.55,36,18.42
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2026,325,447.8,0.329,1.38,-5.59,0.39,1.2,6.25,0.29,9,51.08
"ref: hole up + whales≥50 + TE up, exit TE turn or hole down",2024+,1509,11550.4,0.387,7.65,-3.76,1.35,2.22,10.66,0.67,45,24.95
A: exit hole broke down only,2017,243,3773.2,0.535,15.53,2.0,4.7,5.39,4.67,0.64,126,19.76
A: exit hole broke down only,2018,238,-629.5,0.282,-2.64,-5.39,-0.61,0.65,4.58,0.21,19,-7.85
A: exit hole broke down only,2019,308,2279.6,0.477,7.4,-0.58,1.76,2.54,5.92,0.44,39,26.38
A: exit hole broke down only,2020,490,19495.7,0.565,39.79,4.91,5.91,9.81,9.42,0.75,78,53.0
A: exit hole broke down only,2021,434,302.6,0.369,0.7,-4.4,0.14,1.09,8.35,0.37,0,
A: exit hole broke down only,2022,223,-2316.0,0.148,-10.39,-12.12,-1.59,0.18,4.29,0.11,192,-9.43
A: exit hole broke down only,2023,550,3870.4,0.425,7.04,-3.13,1.8,2.05,10.58,0.52,35,22.32
A: exit hole broke down only,2024,583,9267.9,0.437,15.9,-2.31,2.79,3.24,11.21,0.63,0,
A: exit hole broke down only,2025,601,5761.7,0.416,9.59,-3.34,1.61,2.27,11.56,0.52,36,19.65
A: exit hole broke down only,2026,325,564.3,0.357,1.74,-6.48,0.5,1.2,6.25,0.29,9,48.78
A: exit hole broke down only,2024+,1509,15594.0,0.412,10.33,-3.79,1.83,2.36,10.66,0.65,45,25.47
"C: A + Diamond vetoes (bubble, Mountain≥3, above gold)",2017,162,3394.6,0.549,20.95,2.32,6.13,6.42,3.12,0.64,87,28.25
