suite,signal,tf,cells,valid,median_pf,pf_gt1,median_net,median_dd,median_win,trades,median_alpha,alpha_gt0,typesafe_rob,score
homily,Dragon hole F / Chandelier 3 ATR,all,8,8,2.51,1.0,200.2,33.4,37.0,168,47.6,0.62,0.62,1.669
homily,Dragon hole E / Chandelier 3 ATR,all,8,8,2.92,0.88,265.9,37.8,37.5,150,-19.1,0.5,0.81,1.593
homily,Dragon hole D / Chandelier 3 ATR,all,8,8,2.77,0.88,241.3,37.9,36.9,165,-16.0,0.38,0.83,1.505
homily,Dragon hole ref / Chandelier 3 ATR,all,8,8,2.15,1.0,251.0,43.6,34.9,278,12.9,0.5,0.77,1.212
homily,Dragon hole C / Chandelier 3 ATR,all,8,8,2.11,1.0,222.9,45.8,32.8,234,24.7,0.5,0.73,1.147
homily,Dragon hole F / Hole broke down,all,8,8,3.07,1.0,275.4,65.1,38.8,92,137.1,0.62,0.1,1.072
homily,Dragon hole D / Hole broke down,all,8,8,3.24,1.0,321.1,70.0,38.4,120,123.4,0.5,0.33,0.972
homily,Dragon hole E / Hole broke down,all,8,8,2.84,1.0,314.8,77.3,40.0,116,94.7,0.62,0.28,0.645
homily,Dragon hole C / Hole broke down,all,8,8,2.96,1.0,312.1,83.8,38.8,138,88.1,0.5,0.36,0.592
homily,Dragon hole ref / Hole broke down,all,8,8,2.72,1.0,322.5,85.5,38.8,150,90.8,0.5,0.36,0.544
homily,Dragon hole F / Chandelier 3 ATR,D,8,8,2.51,1.0,200.2,33.4,37.0,168,47.6,0.62,0.62,1.669
homily,Dragon hole E / Chandelier 3 ATR,D,8,8,2.92,0.88,265.9,37.8,37.5,150,-19.1,0.5,0.81,1.593
homily,Dragon hole D / Chandelier 3 ATR,D,8,8,2.77,0.88,241.3,37.9,36.9,165,-16.0,0.38,0.83,1.505
homily,Dragon hole ref / Chandelier 3 ATR,D,8,8,2.15,1.0,251.0,43.6,34.9,278,12.9,0.5,0.77,1.212
homily,Dragon hole C / Chandelier 3 ATR,D,8,8,2.11,1.0,222.9,45.8,32.8,234,24.7,0.5,0.73,1.147
homily,Dragon hole F / Hole broke down,D,8,8,3.07,1.0,275.4,65.1,38.8,92,137.1,0.62,0.1,1.072
homily,Dragon hole D / Hole broke down,D,8,8,3.24,1.0,321.1,70.0,38.4,120,123.4,0.5,0.33,0.972
homily,Dragon hole E / Hole broke down,D,8,8,2.84,1.0,314.8,77.3,40.0,116,94.7,0.62,0.28,0.645
homily,Dragon hole C / Hole broke down,D,8,8,2.96,1.0,312.1,83.8,38.8,138,88.1,0.5,0.36,0.592
homily,Dragon hole ref / Hole broke down,D,8,8,2.72,1.0,322.5,85.5,38.8,150,90.8,0.5,0.36,0.544
